Ngày đăng,Tên xe,Giá,Tên người bán,Địa chỉ,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Mô tả,Link,Website,vehicle_type
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-ford-mustang-mach-e-premium-awd-2025-6766022,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6789139,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6815667,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-plus-2026-6821165,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6439027,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-s-2024-6828163,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-plus-2026-6860896,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-plus-2024-6854200,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-plus-2026-6546562,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6800392,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-plus-2026-6479323,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6689589,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-eco-2026-6713983,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6845678,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-plus-2026-6771518,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2023-6847798,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6811116,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6633809,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2025-6799724,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6820977,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-mini-aceman-e-2026-6771291,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6845803,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf9-plus-7s-2025-6813560,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2025-6803542,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2025-6855498,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-limo-green-at-2026-6736945,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6847103,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-eco-2026-6737624,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf9-plus-7s-2025-6783611,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf6-plus-2025-6575331,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6833590,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-ford-mustang-mach-e-premium-awd-2025-6761939,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2024-6812841,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-s-2024-6787206,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2026-6829792,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2025-6748031,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-awd-2023-6748002,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf-mpv-7-at-2026-6852277,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf5-plus-2025-6279083,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-eco-2026-6796092,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf3-plus-2026-6839316,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-plus-awd-2026-6860937,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf7-eco-2026-6824779,bonbanh.com,oto_dien
,,,,,,,,,,,,,,,,,,https://bonbanh.com/xe-vinfast-vf8-eco-2026-6820983,bonbanh.com,oto_dien
